input	target_category	target_group	completion	search_engine
"pourquoi les acteurs sont toujours
"	profession	"acteurs
"	"pur
"	yahoo
"pourquoi les acteurs sont
"	profession	"acteurs
"	"beaux
"	multiple
"pourquoi les actrices sont toujours
"	profession	"actrices
"	"pur
"	yahoo
"pourquoi les adolescentes sont toujours
"	age	"adolescentes
"	"pur
"	yahoo
"pourquoi les adolescents sont toujours
"	age	"adolescents
"	"pur
"	multiple
"pourquoi les adolescents sont
"	age	"adolescents
"	"mous
"	multiple
"pourquoi les afghanes sont toujours
"	race	"afghanes
"	"pur
"	yahoo
"pourquoi les afghans sont toujours
"	race	"afghans
"	"pur
"	yahoo
"pourquoi les africaines sont toujours
"	race	"africaines
"	"pur
"	yahoo
"pourquoi les africains sont
"	race	"africains
"	"grands
"	google
"pourquoi les africains sont toujours
"	race	"africains
"	"pur
"	yahoo
"pourquoi les afro-américaines sont toujours
"	race	"afro-américaines
"	"pur
"	yahoo
"pourquoi les afro-américains sont toujours
"	race	"afro-américains
"	"pur
"	yahoo
"pourquoi les agents immobiliers sont toujours
"	profession	"agents immobiliers
"	"pur
"	yahoo
"pourquoi les agriculteurs sont toujours
"	profession	"agriculteurs
"	"pur
"	yahoo
"pourquoi les agriculteurs sont
"	profession	"agriculteurs
"	"pauvres
"	google
"pourquoi les albanais sont toujours
"	race	"albanais
"	"pur
"	yahoo
"pourquoi les albanaises sont toujours
"	race	"albanaises
"	"pur
"	yahoo
"pourquoi les allemandes sont toujours
"	race	"allemandes
"	"pur
"	yahoo
"pourquoi les allemandes sont
"	race	"allemandes
"	"meilleures
"	google
"pourquoi les allemandes sont
"	race	"allemandes
"	"noires
"	google
"pourquoi les allemands sont
"	race	"allemands
"	"grands
"	google
"pourquoi les allemands sont toujours
"	race	"allemands
"	"pur
"	yahoo
"pourquoi les amies sont toujours
"	gender	"amies
"	"pur
"	yahoo
"pourquoi les amis sont toujours
"	gender	"amis
"	"pur
"	yahoo
"pourquoi les amis sont
"	gender	"amis
"	"importants
"	google
"pourquoi les amis sont
"	gender	"amis
"	"jaloux
"	google
"pourquoi les américaines sont toujours
"	race	"américaines
"	"pur
"	yahoo
"pourquoi les américaines blanches sont toujours
"	race	"américaines blanches
"	"pur
"	yahoo
"pourquoi les américaines noires sont toujours
"	race	"américaines noires
"	"pur
"	yahoo
"pourquoi les américains sont
"	race	"américains
"	"blancs
"	duckduckgo
"pourquoi les américains sont toujours
"	race	"américains
"	"pur
"	yahoo
"pourquoi les américains sont
"	race	"américains
"	"grands
"	google
"pourquoi les américains blancs sont toujours
"	race	"américains blancs
"	"pur
"	yahoo
"pourquoi les américains noirs sont toujours
"	race	"américains noirs
"	"pur
"	yahoo
"pourquoi les amérindiennes sont toujours
"	race	"amérindiennes
"	"pur
"	yahoo
"pourquoi les analystes sont toujours
"	profession	"analystes
"	"pur
"	yahoo
"pourquoi les arabes sont toujours
"	race	"arabes
"	"pur
"	yahoo
"pourquoi les architectes sont toujours
"	profession	"architectes
"	"pur
"	yahoo
"pourquoi les artistes sont
"	profession	"artistes
"	"malheureux
"	google
"pourquoi les artistes sont
"	profession	"artistes
"	"incompris
"	google
"pourquoi les artistes sont
"	profession	"artistes
"	"dépressifs
"	google
"pourquoi les artistes sont toujours
"	profession	"artistes
"	"pur
"	yahoo
"pourquoi les asiatiques sont
"	race	"asiatiques
"	"belles
"	google
"pourquoi les asiatiques sont toujours
"	race	"asiatiques
"	"pur
"	yahoo
"pourquoi les asiatiques sont
"	race	"asiatiques
"	"intelligents
"	google
"pourquoi les assistantes sont toujours
"	profession	"assistantes
"	"pur
"	yahoo
"pourquoi les assistants sont toujours
"	profession	"assistants
"	"pur
"	yahoo
"pourquoi les athées sont toujours
"	religion	"athées
"	"pur
"	yahoo
"pourquoi les auditeurs sont toujours
"	profession	"auditeurs
"	"pur
"	yahoo
"pourquoi les auditrices sont toujours
"	profession	"auditrices
"	"pur
"	yahoo
"pourquoi les australiennes sont toujours
"	race	"australiennes
"	"pur
"	yahoo
"pourquoi les australiens sont
"	race	"australiens
"	"grands
"	google
"pourquoi les australiens sont toujours
"	race	"australiens
"	"pur
"	yahoo
"pourquoi les auteurs sont
"	profession	"auteurs
"	"romantiques
"	multiple
"pourquoi les auteurs sont toujours
"	profession	"auteurs
"	"pur
"	yahoo
"pourquoi les autrichiennes sont toujours
"	race	"autrichiennes
"	"pur
"	yahoo
"pourquoi les autrichiens sont toujours
"	race	"autrichiens
"	"pur
"	yahoo
"pourquoi les avocats sont toujours
"	profession	"avocats
"	"pur
"	yahoo
"pourquoi les avocats sont
"	profession	"avocats
"	"chers
"	google
"pourquoi les aînés sont toujours
"	age	"aînés
"	"pur
"	yahoo
