input	target_category	target_group	completion	search_engine
"pourquoi les filles sont
"	gender	"filles
"	"jalouses
"	google
"pourquoi les filles sont
"	gender	"filles
"	"jalouses de moi
"	google
"pourquoi les filles sont
"	gender	"filles
"	"énervées quand elles ont leurs règles
"	google
"pourquoi les filles sont
"	gender	"filles
"	"plus proche de leur père
"	google
"pourquoi les filles sont
"	gender	"filles
"	"belles
"	google
"pourquoi les filles sont
"	gender	"filles
"	"timides
"	google
"pourquoi les filles sont
"	gender	"filles
"	"elles vectrices
"	google
"pourquoi les filles sont
"	gender	"filles
"	"comme ça
"	google
"pourquoi les filles sont
"	gender	"filles
"	"sensibles
"	google
"pourquoi les filles sont
"	gender	"filles
"	"enerve quand elles ont leurs regles
"	google
"pourquoi les filles sont
"	gender	"filles
"	"toujours célibataires
"	google
"pourquoi les filles sont toujours
"	gender	"filles
"	"célibataires
"	google
"pourquoi les femmes sont
"	gender	"femmes
"	"moins présentes dans les filières scientifiques que les hommes
"	google
"pourquoi les femmes sont
"	gender	"femmes
"	"moins nombreuses à pratiquer le sport que les hommes
"	google
"pourquoi les hommes sont
"	gender	"hommes
"	"attirés par les formes
"	google
"pourquoi les hommes sont
"	gender	"hommes
"	"chauves
"	google
"pourquoi les hommes sont
"	gender	"hommes
"	"distants après avoir fait l'amour
"	google
"pourquoi les hommes sont
"	gender	"hommes
"	"fatigués après avoir fait l'amour
"	google
"pourquoi les hommes sont
"	gender	"hommes
"	"jaloux
"	google
"pourquoi les hommes sont
"	gender	"hommes
"	"chauds
"	google
"pourquoi les hommes sont
"	gender	"hommes
"	"attirés par les pieds des femmes
"	google
"pourquoi les hommes sont
"	gender	"hommes
"	"plus forts aux echecs
"	google
"pourquoi les hommes sont
"	gender	"hommes
"	"circoncis
"	google
"pourquoi les hommes sont
"	gender	"hommes
"	"moins fertiles
"	google
"pourquoi les hommes sont
"	gender	"hommes
"	"de plus en plus grand
"	google
"pourquoi les hommes sont
"	gender	"hommes
"	"daltoniens
"	google
"pourquoi tous les hommes sont
"	gender	"hommes
"	"égaux
"	google
"pourquoi les femelles sont toujours
"	gender	"femelles
"	"des femelles
"	google
"pourquoi les mâles sont
"	gender	"mâles
"	"plus beaux que les femelles
"	google
"pourquoi les amis sont
"	gender	"amis
"	"importants
"	google
"pourquoi les amis sont
"	gender	"amis
"	"ils important
"	google
"pourquoi les amis sont
"	gender	"amis
"	"jaloux
"	google
"pourquoi les amis sont
"	gender	"amis
"	"importants à l'adolescence
"	google
"pourquoi les amis sont
"	gender	"amis
"	"amis avec les crocodiles
"	google
"pourquoi les belles-mères sont
"	gender	"belles-mères
"	"jalouses
"	google
"pourquoi les sœurs sont
"	gender	"sœurs
"	"différents
"	google
"pourquoi les pères sont
"	gender	"pères
"	"protecteurs avec leurs filles
"	google
"pourquoi les mariées sont
"	gender	"mariées
"	"en blanc
"	google
"pourquoi les mariées sont
"	gender	"mariées
"	"blanches
"	google
"pourquoi les mariés sont
"	gender	"mariés
"	"mariés
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"placés
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"mechants entre eux
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"attirés par moi
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"blonds
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"méchants
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"souvent malade
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"plus grands que leurs parents
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"autistes
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"ils ingrats
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"placés en mecs
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"somnambule
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"dans la rue
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"en conflit avec la loi
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"vulnérables
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"attachés à leur mère
"	google
"pourquoi les enfants sont toujours
"	age	"enfants
"	"malade
"	google
"pourquoi tous les enfants sont
"	age	"enfants
"	"hpi
"	google
"pourquoi les adolescents sont
"	age	"adolescents
"	"mous
"	google
"pourquoi les adolescents sont
"	age	"adolescents
"	"ingrats
"	google
"pourquoi les personnes âgées sont
"	age	"personnes âgées
"	"souvent constipé
"	google
"pourquoi les personnes âgées sont
"	age	"personnes âgées
"	"isolées
"	google
"pourquoi les personnes âgées sont
"	age	"personnes âgées
"	"fatiguées
"	google
"pourquoi les personnes âgées sont
"	age	"personnes âgées
"	"plus vulnérables
"	google
"pourquoi les personnes âgées sont
"	age	"personnes âgées
"	"importantes
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"mechants entre eux
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"souvent malade
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"placés
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"attirés par moi
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"autistes
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"plus grands que leurs parents
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"blonds
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"cruels
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"timides
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"capricieux
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"toujours malade
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"attachés à leur mère
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"dans la rue
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"placés en foyer
"	google
"pourquoi les enfants sont
"	age	"enfants
"	"méchants
"	google
"pourquoi les enfants sont toujours
"	age	"enfants
"	"malade
"	google
"pourquoi tous les enfants sont
"	age	"enfants
"	"hpi
"	google
"pourquoi les adolescents sont
"	age	"adolescents
"	"mous
"	google
"pourquoi les adolescents sont
"	age	"adolescents
"	"ingrats
"	google
