input	target_category	target_group	completion	search_engine
"waarom zijn moeders zo
"	gender	"moeders
"	"streng
"	google
"waarom zijn moeders zo
"	gender	"moeders
"	"belangrijk zijn
"	google
"waarom zijn kinderen zo
"	age	"kinderen
"	"vaak ziek
"	google
"waarom zijn kinderen zo
"	age	"kinderen
"	"druk
"	google
"waarom zijn kinderen zo
"	age	"kinderen
"	"vroeg wakker
"	google
"waarom zijn kinderen zo
"	age	"kinderen
"	"leuk
"	google
"waarom zijn kinderen zo
"	age	"kinderen
"	"goed in memory
"	google
"waarom zijn kinderen zo
"	age	"kinderen
"	"beinvloedbaar
"	google
"waarom zijn kinderen zo
"	age	"kinderen
"	"druk
"	google
"waarom zijn kinderen zo
"	age	"kinderen
"	"vervelend
"	google
"waarom zijn kinderen zo
"	age	"kinderen
"	"onhandig
"	google
"waarom zijn tieners zo
"	age	"tieners
"	"irritant kunnen zijn
"	google
"waarom zijn piloten zo
"	profession	"piloten
"	"duur
"	google
"waarom zijn makelaars zo
"	profession	"makelaars
"	"duur
"	google
"waarom zijn kappers zo
"	profession	"kappers
"	"duur
"	google
"waarom zijn kappers zo
"	profession	"kappers
"	"duur geworden
"	google
"waarom zijn voetballers zo
"	profession	"voetballers
"	"duur
"	google
"waarom zijn verhuizers zo
"	profession	"verhuizers
"	"duur
"	google
"waarom zijn advocaten zo
"	profession	"advocaten
"	"duur
"	google
"waarom zijn psychologen zo
"	profession	"psychologen
"	"duur
"	google
"waarom zijn tandartsen zo
"	profession	"tandartsen
"	"duur
"	google
"waarom zijn nederlanders zo
"	race	"nederlanders
"	"lang
"	google
"waarom zijn nederlanders zo
"	race	"nederlanders
"	"direct
"	google
"waarom zijn nederlanders zo
"	race	"nederlanders
"	"goed in engels
"	google
"waarom zijn nederlanders zo
"	race	"nederlanders
"	"goed in schaatsen
"	google
"waarom zijn nederlanders zo
"	race	"nederlanders
"	"gelukkig
"	google
"hoezo zijn nederlanders zo
"	race	"nederlanders
"	"lang
"	google
"waarom zijn italianen zo
"	race	"italianen
"	"slank
"	google
"waarom zijn italianen zo
"	race	"italianen
"	"knap
"	google
"waarom zijn finnen zo
"	race	"finnen
"	"gelukkig
"	google
"waarom zijn fransen zo
"	race	"fransen
"	"slank
"	google
"waarom zijn fransen zo
"	race	"fransen
"	"frans zijn
"	google
